"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 12 08:43:41 GMT 2023","Wed Apr 12 08:43:41 GMT 2023","69","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
"passed","Wed Apr 12 08:43:46 GMT 2023","Wed Apr 12 08:43:48 GMT 2023","2286","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Wed Apr 12 08:43:42 GMT 2023","Wed Apr 12 08:43:45 GMT 2023","2414","test","test_conduit","TestConduit","","","test_sign_up",""
