"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 08:57:15 GMT 2023","Wed Apr 12 08:57:15 GMT 2023","112","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
"passed","Wed Apr 12 08:57:20 GMT 2023","Wed Apr 12 08:57:22 GMT 2023","2253","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Wed Apr 12 08:57:16 GMT 2023","Wed Apr 12 08:57:19 GMT 2023","2488","test","test_conduit","TestConduit","","","test_sign_up",""
