"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 10:09:47 GMT 2023","Wed Apr 12 10:09:49 GMT 2023","2463","test","test_conduit","TestConduit","","","test_listed_datas",""
"passed","Wed Apr 12 10:09:43 GMT 2023","Wed Apr 12 10:09:45 GMT 2023","2250","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Wed Apr 12 10:09:39 GMT 2023","Wed Apr 12 10:09:42 GMT 2023","2588","test","test_conduit","TestConduit","","","test_sign_up",""
"passed","Wed Apr 12 10:09:38 GMT 2023","Wed Apr 12 10:09:38 GMT 2023","150","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
