"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 12:10:22 GMT 2023","Thu Apr 06 12:10:27 GMT 2023","5069","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
"failed","Thu Apr 06 12:10:29 GMT 2023","Thu Apr 06 12:10:29 GMT 2023","403","test","test_conduit","TestConduit","","","test_sign_up",""
"passed","Thu Apr 06 12:10:30 GMT 2023","Thu Apr 06 12:10:31 GMT 2023","359","test","test_conduit","TestConduit","","","test_sign_in",""
