"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 17:23:32 GMT 2023","Thu Apr 13 17:23:34 GMT 2023","2274","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Thu Apr 13 17:24:03 GMT 2023","Thu Apr 13 17:24:09 GMT 2023","5497","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Thu Apr 13 17:23:43 GMT 2023","Thu Apr 13 17:23:46 GMT 2023","3516","test","test_conduit","TestConduit","","","test_write_new_data",""
"passed","Thu Apr 13 17:23:36 GMT 2023","Thu Apr 13 17:23:38 GMT 2023","2420","test","test_conduit","TestConduit","","","test_listed_datas",""
"passed","Thu Apr 13 17:24:10 GMT 2023","Thu Apr 13 17:24:14 GMT 2023","4314","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Thu Apr 13 17:23:39 GMT 2023","Thu Apr 13 17:23:42 GMT 2023","2342","test","test_conduit","TestConduit","","","test_navigation_links",""
"passed","Thu Apr 13 17:23:58 GMT 2023","Thu Apr 13 17:24:02 GMT 2023","4371","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Thu Apr 13 17:23:27 GMT 2023","Thu Apr 13 17:23:27 GMT 2023","52","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
"passed","Thu Apr 13 17:23:47 GMT 2023","Thu Apr 13 17:23:56 GMT 2023","9023","test","test_conduit","TestConduit","","","test_new_data_from_file_constantly",""
"passed","Thu Apr 13 17:23:29 GMT 2023","Thu Apr 13 17:23:31 GMT 2023","2374","test","test_conduit","TestConduit","","","test_sign_up",""
