"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 06 12:03:48 GMT 2023","Thu Apr 06 12:03:48 GMT 2023","476","test","test_conduit","TestConduit","","","test_sign_up",""
"broken","Thu Apr 06 12:03:41 GMT 2023","Thu Apr 06 12:03:46 GMT 2023","5134","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
"passed","Thu Apr 06 12:03:50 GMT 2023","Thu Apr 06 12:03:50 GMT 2023","407","test","test_conduit","TestConduit","","","test_sign_in",""
