"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 15:19:00 GMT 2023","Wed Apr 19 15:19:05 GMT 2023","4331","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Wed Apr 19 15:18:44 GMT 2023","Wed Apr 19 15:18:49 GMT 2023","4361","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Wed Apr 19 15:18:17 GMT 2023","Wed Apr 19 15:18:20 GMT 2023","2271","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Wed Apr 19 15:18:24 GMT 2023","Wed Apr 19 15:18:27 GMT 2023","2445","test","test_conduit","TestConduit","","","test_navigation_links",""
"passed","Wed Apr 19 15:18:21 GMT 2023","Wed Apr 19 15:18:23 GMT 2023","2390","test","test_conduit","TestConduit","","","test_listed_datas",""
"passed","Wed Apr 19 15:18:57 GMT 2023","Wed Apr 19 15:18:59 GMT 2023","2430","test","test_conduit","TestConduit","","","test_save_data",""
"passed","Wed Apr 19 15:18:12 GMT 2023","Wed Apr 19 15:18:16 GMT 2023","4374","test","test_conduit","TestConduit","","","test_sign_up",""
"passed","Wed Apr 19 15:18:09 GMT 2023","Wed Apr 19 15:18:11 GMT 2023","2057","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
"passed","Wed Apr 19 15:18:34 GMT 2023","Wed Apr 19 15:18:43 GMT 2023","9162","test","test_conduit","TestConduit","","","test_new_data_from_file_constantly",""
"passed","Wed Apr 19 15:18:50 GMT 2023","Wed Apr 19 15:18:56 GMT 2023","6062","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Wed Apr 19 15:18:28 GMT 2023","Wed Apr 19 15:18:33 GMT 2023","4846","test","test_conduit","TestConduit","","","test_write_new_data",""
