"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 21:03:32 GMT 2023","Thu Apr 13 21:03:37 GMT 2023","4382","test","test_conduit","TestConduit","","","test_write_new_data",""
"passed","Thu Apr 13 21:04:02 GMT 2023","Thu Apr 13 21:04:04 GMT 2023","2568","test","test_conduit","TestConduit","","","test_save_data",""
"passed","Thu Apr 13 21:03:49 GMT 2023","Thu Apr 13 21:03:53 GMT 2023","4258","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Thu Apr 13 21:03:25 GMT 2023","Thu Apr 13 21:03:27 GMT 2023","2540","test","test_conduit","TestConduit","","","test_listed_datas",""
"passed","Thu Apr 13 21:03:14 GMT 2023","Thu Apr 13 21:03:16 GMT 2023","2078","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
"passed","Thu Apr 13 21:03:21 GMT 2023","Thu Apr 13 21:03:23 GMT 2023","2346","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Thu Apr 13 21:04:05 GMT 2023","Thu Apr 13 21:04:10 GMT 2023","4435","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Thu Apr 13 21:03:54 GMT 2023","Thu Apr 13 21:04:00 GMT 2023","5934","test","test_conduit","TestConduit","","","test_delete_data",""
"failed","Thu Apr 13 21:03:17 GMT 2023","Thu Apr 13 21:03:20 GMT 2023","2426","test","test_conduit","TestConduit","","","test_sign_up",""
"passed","Thu Apr 13 21:03:38 GMT 2023","Thu Apr 13 21:03:48 GMT 2023","9886","test","test_conduit","TestConduit","","","test_new_data_from_file_constantly",""
"passed","Thu Apr 13 21:03:28 GMT 2023","Thu Apr 13 21:03:31 GMT 2023","2465","test","test_conduit","TestConduit","","","test_navigation_links",""
