"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 06 11:58:38 GMT 2023","Thu Apr 06 11:58:38 GMT 2023","0","test","test_conduit","TestConduit","","","test_sign_up",""
"broken","Thu Apr 06 11:58:31 GMT 2023","Thu Apr 06 11:58:31 GMT 2023","0","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
"broken","Thu Apr 06 11:58:39 GMT 2023","Thu Apr 06 11:58:39 GMT 2023","0","test","test_conduit","TestConduit","","","test_sign_in",""
