"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 09:36:36 GMT 2023","Thu Apr 13 09:36:39 GMT 2023","2639","test","test_conduit","TestConduit","","","test_sign_up",""
"passed","Thu Apr 13 09:36:52 GMT 2023","Thu Apr 13 09:36:55 GMT 2023","3912","test","test_conduit","TestConduit","","","test_write_new_data",""
"passed","Thu Apr 13 09:36:40 GMT 2023","Thu Apr 13 09:36:43 GMT 2023","2361","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Thu Apr 13 09:36:44 GMT 2023","Thu Apr 13 09:36:46 GMT 2023","2492","test","test_conduit","TestConduit","","","test_listed_datas",""
"passed","Thu Apr 13 09:36:57 GMT 2023","Thu Apr 13 09:37:08 GMT 2023","11214","test","test_conduit","TestConduit","","","test_new_data_from_file_constantly",""
"passed","Thu Apr 13 09:36:48 GMT 2023","Thu Apr 13 09:36:50 GMT 2023","2442","test","test_conduit","TestConduit","","","test_navigation_links",""
"passed","Thu Apr 13 09:37:09 GMT 2023","Thu Apr 13 09:37:14 GMT 2023","4388","test","test_conduit","TestConduit","","","test_sign_out",""
"failed","Thu Apr 13 09:36:35 GMT 2023","Thu Apr 13 09:36:35 GMT 2023","68","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
