"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 16:24:15 GMT 2023","Sat Apr 15 16:24:17 GMT 2023","2270","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Sat Apr 15 16:24:22 GMT 2023","Sat Apr 15 16:24:25 GMT 2023","2440","test","test_conduit","TestConduit","","","test_navigation_links",""
"passed","Sat Apr 15 16:24:57 GMT 2023","Sat Apr 15 16:25:01 GMT 2023","4309","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Sat Apr 15 16:24:41 GMT 2023","Sat Apr 15 16:24:46 GMT 2023","4347","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sat Apr 15 16:24:18 GMT 2023","Sat Apr 15 16:24:21 GMT 2023","2450","test","test_conduit","TestConduit","","","test_listed_datas",""
"passed","Sat Apr 15 16:24:05 GMT 2023","Sat Apr 15 16:24:07 GMT 2023","2072","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
"passed","Sat Apr 15 16:24:47 GMT 2023","Sat Apr 15 16:24:52 GMT 2023","5582","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sat Apr 15 16:24:26 GMT 2023","Sat Apr 15 16:24:31 GMT 2023","4834","test","test_conduit","TestConduit","","","test_write_new_data",""
"passed","Sat Apr 15 16:24:32 GMT 2023","Sat Apr 15 16:24:40 GMT 2023","8333","test","test_conduit","TestConduit","","","test_new_data_from_file_constantly",""
"passed","Sat Apr 15 16:24:08 GMT 2023","Sat Apr 15 16:24:13 GMT 2023","4400","test","test_conduit","TestConduit","","","test_sign_up",""
"passed","Sat Apr 15 16:24:53 GMT 2023","Sat Apr 15 16:24:56 GMT 2023","2424","test","test_conduit","TestConduit","","","test_save_data",""
