"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 09:46:32 GMT 2023","Thu Apr 13 09:46:34 GMT 2023","2799","test","test_conduit","TestConduit","","","test_sign_up",""
"passed","Thu Apr 13 09:46:30 GMT 2023","Thu Apr 13 09:46:30 GMT 2023","114","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
"passed","Thu Apr 13 09:46:53 GMT 2023","Thu Apr 13 09:47:02 GMT 2023","9404","test","test_conduit","TestConduit","","","test_new_data_from_file_constantly",""
"passed","Thu Apr 13 09:46:36 GMT 2023","Thu Apr 13 09:46:38 GMT 2023","2343","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Thu Apr 13 09:46:44 GMT 2023","Thu Apr 13 09:46:46 GMT 2023","2452","test","test_conduit","TestConduit","","","test_navigation_links",""
"passed","Thu Apr 13 09:46:48 GMT 2023","Thu Apr 13 09:46:51 GMT 2023","3937","test","test_conduit","TestConduit","","","test_write_new_data",""
"passed","Thu Apr 13 09:46:40 GMT 2023","Thu Apr 13 09:46:42 GMT 2023","2555","test","test_conduit","TestConduit","","","test_listed_datas",""
"passed","Thu Apr 13 09:47:04 GMT 2023","Thu Apr 13 09:47:08 GMT 2023","4389","test","test_conduit","TestConduit","","","test_sign_out",""
