"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 16:11:51 GMT 2023","Sat Apr 15 16:11:54 GMT 2023","2508","test","test_conduit","TestConduit","","","test_listed_datas",""
"passed","Sat Apr 15 16:12:06 GMT 2023","Sat Apr 15 16:12:16 GMT 2023","10613","test","test_conduit","TestConduit","","","test_new_data_from_file_constantly",""
"passed","Sat Apr 15 16:11:48 GMT 2023","Sat Apr 15 16:11:50 GMT 2023","2330","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Sat Apr 15 16:11:59 GMT 2023","Sat Apr 15 16:12:04 GMT 2023","5328","test","test_conduit","TestConduit","","","test_write_new_data",""
"passed","Sat Apr 15 16:12:17 GMT 2023","Sat Apr 15 16:12:22 GMT 2023","4519","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sat Apr 15 16:11:55 GMT 2023","Sat Apr 15 16:11:58 GMT 2023","2589","test","test_conduit","TestConduit","","","test_navigation_links",""
"passed","Sat Apr 15 16:12:34 GMT 2023","Sat Apr 15 16:12:38 GMT 2023","4388","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Sat Apr 15 16:12:23 GMT 2023","Sat Apr 15 16:12:29 GMT 2023","5956","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sat Apr 15 16:11:42 GMT 2023","Sat Apr 15 16:11:47 GMT 2023","4924","test","test_conduit","TestConduit","","","test_sign_up",""
"passed","Sat Apr 15 16:12:30 GMT 2023","Sat Apr 15 16:12:33 GMT 2023","2533","test","test_conduit","TestConduit","","","test_save_data",""
"passed","Sat Apr 15 16:11:38 GMT 2023","Sat Apr 15 16:11:40 GMT 2023","2254","test","test_conduit","TestConduit","","","test_apply_privacy_statement_as_cookies",""
